"idea.id","idea.text"
1,"Provide incentives for good teachers to stay in education."
2,"Teach students to be good citizens by making volunteering an integral part of schooling."
3,"Invest further in teacher training and education."
4,"Prepare kids for the work world, placing more of an emphasis on life and human skills."
5,"Ensure that higher education is accessible to all who want to attend."
6,"Make early childhood education a priority."
7,"Make education a priority in national budgets."
8,"Ensure that language programs are kept rather than sacrificed to more traditional (maths and sciences) courses."
9,"Encourage families to get involved in providing education at home in innovative ways."
10,"Move away from factory teaching and factory learning to tailored, student-specific teaching and learning."
11,"Give teachers regular sabbaticals so that they can be trained outside of regular school time or during holidays."
12,"Get more hands-on teaching in the classroom by creating more posts for teachers."
13,"Prepare students better for college by teaching them how to write better and understand basic math."
14,"Ensure that educators are both male and female as well representative of the racially diverse bodies they are teaching."
15,"Evaluate education outcomes through randomised experiments to better inform policy makers."
16,"Try to improve the perception of teaching/teachers by making teaching a higher-status profession."
17,"Encourage different, innovative forms of education, inside and outside the classroom."
18,"Encourage learning beyond the classroom."
19,"Work to keep class sizes down."
20,"Encourage students to act as mentors and tutors for other kids. Give them credit for doing so."
21,"Foster early literacy development at home."
22,"Encourage governments to spend as much money on education as they do on defense spending."
23,"Provide better buildings and facilities for students and teachers."
24,"Improve school climate by taking steps to reduce bullying and other types of violence in schools."
25,"Ensure that music programs are kept rather than sacrificed to more traditional (maths and sciences) courses."
26,"Focus more on creating teaching jobs than school administration jobs."
27,"Prepare students for work by including a component of work experience, starting early in secondary education."
28,"Provide good student orientation before students leave high school."
29,"Ensure that art programs are kept rather than sacrificed to more traditional (maths and sciences) courses."
30,"Ensure that sports programs are kept rather than sacrificed to more traditional (maths and sciences) courses."
31,"Replace summer reading lists with an obligation for students to read and write about 3-5 books of their choosing."
32,"Make providing access to quality education a priority for all."
33,"Maximise technology to help provide quality education for all."
34,"Encourage mothers to seek higher education as studies show students seek the education levels of those most influential in their lives."
35,"Create an international Best Practices database"
36,"Teach ourselves and our children how to solve the complex problems of today."
37,"Increase education opportunities for young girls in developing countries."
38,"Support students learning in self-organising groups, learning in groups, with the help of technology."
39,"Find ways to provide children access to technology (mobile phones, laptops, etc.) in places where schools are not available."
40,"Make access to quality education a fundamental human right (as access to clean water has just been declared a basic human right by the UN)."
41,"Revolutionize how we train teachers: teach them pedagogical skills, and the ability to inspire curiosity, research skills and thought."
42,"Focus more on creating a long-term love of learning and the ability to think critically than teaching to standardised tests."
43,"Provide high quality places in which education can take place"
44,"Encourage better collaboration between all actors in education to strengthen the social framework within which the child evolves."
45,"Increase the studies of languages and world cultures in order to increase cooperation and interdependence of countries and resources."
46,"Develop standards for optimal learnining conditions."
47,"Ensure that teachers are paid commensurate (more) with their training and responsibilities."
48,"Reduce class size so every child can get the attention they need."
49,"Teach students to develop and consume products and services designed to minimise waste."
50,"Consider providing free online search tools to students rather than expensive electronic library resources."
51,"Build systems that will evaluate the performance of public school teachers, with an eye toward ending the current tenure system."
52,"Conduct and share research to determine optimal learning conditions."
53,"Adjust funding to targets and outcomes in higher education."
54,"Encourage real-world application of ideas and concepts in classroom settings."
55,"Partner with those outside the formal education system, rather than digging a deeper hole."
56,"Teach boys and girls useful life skills: housekeeping, woodwork, house decoration, gardening, sewing, etc."
57,"Foster less competitivity and more co-operative learning in classrooms."
58,"Add a civic educaton/ecology element to all teaching to encourage thought about the future of the world and its populations."
59,"Elevate the status of teachers."
60,"Determine which is more important: theory or a practically based education system."
61,"Set up a European transnational project to measure the correlation between the accomodation of students and their apprenticeship capacity."
62,"Partner with those outside the formal education system."
63,"Ensure that children from disadvantaged background and migrant families have the same opportunity to quality education as others."
64,"Introduce entrepreneurship as a fundamental societal value since the earliest learning stages and throughout the whole education path"
65,"Focus curricula on critical thinking and effective communication, not on empty pedagogical trends."
66,"Build a system to cultivate a student's soul and mind, not make middle-of-the-road workers."
