"round","z1","z2","y"
1,26,51,1
2,23,6,0
3,37,29,1
4,38,32,0
5,14,40,0
6,20,51,1
7,48,12,0
8,35,27,0
9,50,15,1
10,12,45,0
11,25,3,0
12,13,3,1
13,18,34,1
14,26,39,0
15,12,40,1
16,33,54,0
17,6,40,1
18,29,22,0
19,34,42,0
20,26,7,1
21,9,16,1
22,32,50,1
23,13,50,1
24,21,1,0
25,18,26,1
26,29,43,0
27,49,7,1
28,42,21,1
29,36,28,1
30,31,33,0
31,52,20,0
32,5,50,1
33,17,39,1
34,24,33,1
35,12,17,0
36,15,54,0
37,52,5,0
38,4,39,1
39,40,34,1
40,15,52,0
41,46,25,1
42,47,30,0
43,30,37,0
44,49,16,1
45,40,53,1
46,35,23,0
47,24,28,0
48,15,50,0
49,50,34,1
50,28,8,1
51,21,35,1
52,36,35,1
53,18,25,1
54,37,22,1
55,12,9,1
56,2,24,1
57,42,49,1
58,9,2,1
59,14,34,0
60,33,36,1
61,19,35,1
62,2,20,0
63,18,45,1
64,15,53,0
65,46,1,1
66,15,46,0
67,33,11,0
68,7,33,1
69,18,39,1
70,44,28,1
71,50,16,0
72,27,21,1
73,23,51,1
74,46,22,0
75,2,21,0
76,48,22,0
77,21,48,0
78,55,49,1
79,39,14,1
80,7,31,1
81,28,20,0
82,22,55,1
83,52,32,0
84,46,3,1
85,54,17,1
86,41,35,0
87,35,50,0
88,42,10,1
89,28,38,0
90,44,37,1
91,8,45,0
92,30,20,1
93,51,27,0
94,25,24,1
95,26,34,1
96,34,42,0
97,4,45,1
98,33,14,1
99,29,17,1
100,35,20,0
101,46,49,1
102,1,19,1
103,18,34,1
104,29,43,1
105,4,22,1
106,41,37,1
107,18,27,0
108,28,26,1
109,39,22,1
110,46,38,0
111,22,21,1
112,48,28,0
113,48,45,0
114,16,52,1
115,44,29,0
116,14,25,0
117,41,8,0
118,29,46,1
119,39,24,1
120,51,9,0
121,42,31,1
122,10,42,0
123,41,36,0
124,34,22,0
125,30,2,0
126,19,6,1
127,55,5,0
128,26,37,0
129,21,16,0
130,50,4,1
131,5,22,0
132,2,9,0
133,55,9,0
134,34,10,0
135,3,53,1
136,25,12,1
137,2,6,1
138,19,34,0
139,53,31,0
140,16,42,0
141,33,46,1
142,39,22,0
143,36,47,0
144,22,34,0
145,34,50,1
146,41,47,1
147,44,9,1
148,55,48,0
149,10,12,1
150,13,32,1
151,29,10,0
152,50,13,0
153,47,43,0
154,1,46,1
155,41,27,0
156,40,30,0
157,53,23,1
158,26,44,1
159,49,6,0
160,28,13,0
161,40,12,0
162,19,52,0
163,24,9,1
164,3,1,1
165,1,20,0
166,36,9,0
167,40,13,1
168,18,34,0
169,40,27,1
170,42,50,1
171,16,49,0
172,10,29,1
173,18,12,1
174,49,15,0
175,3,54,0
176,18,54,0
177,29,1,0
178,2,47,0
179,27,53,1
180,56,35,1
181,42,59,1
182,54,42,0
183,49,14,1
184,4,54,0
185,43,23,1
186,59,40,1
187,54,58,0
188,40,55,1
189,42,54,1
190,40,25,0
191,55,41,0
192,6,25,0
193,43,22,0
194,34,59,1
195,58,41,1
196,12,60,1
197,9,50,1
198,51,15,0
199,34,1,0
200,17,1,1
201,41,2,1
202,7,31,1
203,51,18,1
204,60,10,0
205,43,15,0
206,5,25,1
207,5,11,1
208,14,39,1
209,41,7,1
210,42,61,1
211,41,22,1
212,2,26,1
213,60,12,0
214,24,20,0
215,60,35,0
216,10,52,1
217,33,56,1
218,53,2,0
219,13,4,1
220,56,18,0
221,2,40,0
222,40,10,0
223,11,33,0
224,58,51,1
225,28,59,1
226,13,30,1
227,54,52,0
228,20,47,1
229,10,27,1
230,59,44,1
231,52,5,0
232,29,16,0
233,13,21,1
234,8,57,0
235,5,28,1
236,46,24,1
237,7,12,0
238,32,17,1
239,54,1,0
240,5,61,1
241,10,61,1
242,18,20,0
243,46,13,1
244,43,57,0
245,19,58,0
246,53,1,0
247,17,1,1
248,60,39,0
249,6,32,1
250,58,2,0
251,15,22,1
252,32,4,1
253,35,56,1
254,5,35,0
255,30,26,1
256,19,43,1
257,47,41,0
258,32,61,1
259,2,19,0
260,36,19,1
261,25,34,1
262,46,55,0
263,3,22,1
264,18,56,1
265,9,22,1
266,50,24,0
267,25,9,1
268,22,58,0
269,19,22,1
270,20,40,0
271,36,2,1
272,11,52,0
273,40,53,1
274,41,34,1
275,18,2,1
276,40,18,1
277,29,18,0
278,6,28,1
279,30,1,0
280,41,57,0
281,56,57,1
282,35,28,1
283,58,19,0
284,2,58,1
285,21,46,1
286,42,46,1
287,56,16,0
288,45,14,1
289,47,12,1
290,55,53,0
291,2,45,1
292,57,8,1
293,45,36,0
294,10,61,1
295,57,4,1
296,32,33,1
297,8,11,0
298,33,5,0
299,32,22,0
300,45,33,1
301,59,18,0
302,34,53,1
303,27,33,0
304,58,21,1
305,1,52,1
306,44,45,1
307,17,38,1
308,46,7,0
309,53,27,0
310,15,7,0
311,21,58,1
312,32,45,1
313,35,14,1
314,23,29,1
315,2,53,1
316,60,22,0
317,51,43,1
318,7,38,1
319,59,37,1
320,26,62,1
321,17,57,1
322,19,23,1
323,8,26,1
324,50,49,0
325,35,22,0
326,55,34,1
327,18,34,1
328,36,56,1
329,52,7,1
330,7,25,1
331,27,51,0
332,4,14,1
333,53,12,0
334,39,9,0
335,8,45,0
336,51,57,1
337,62,14,1
338,27,24,1
339,22,41,0
340,23,3,0
341,27,34,0
342,46,1,0
343,26,9,0
344,13,37,1
345,46,11,1
346,24,2,1
347,35,21,1
348,2,24,0
349,60,59,0
350,62,41,1
351,51,30,0
352,6,33,1
353,33,55,0
354,14,40,1
355,12,6,0
356,42,41,0
357,18,41,1
358,35,51,1
359,59,53,0
360,10,2,1
361,14,26,1
362,32,57,0
363,31,24,0
364,59,26,0
365,8,62,1
366,8,40,0
367,22,29,0
368,55,17,0
369,15,43,1
370,36,53,1
371,16,38,0
372,56,43,0
373,40,41,0
374,29,7,0
375,58,25,1
376,30,33,0
377,3,24,0
378,34,32,1
379,3,27,0
380,46,4,0
381,36,26,1
382,45,1,0
383,23,52,0
384,23,5,0
385,1,52,1
386,9,44,1
387,55,12,0
388,13,26,0
389,30,53,0
390,35,43,0
391,1,57,0
392,48,46,0
393,54,18,0
394,22,29,1
395,58,19,1
396,8,53,1
397,61,34,0
398,42,16,0
399,45,13,0
400,4,32,1
401,10,62,1
402,28,7,1
403,2,10,1
404,19,17,0
405,54,56,1
406,27,40,0
407,54,61,0
408,22,60,1
409,44,24,0
410,41,44,1
411,16,20,0
412,47,13,1
413,16,41,1
414,8,63,0
415,4,8,1
416,42,59,1
417,1,2,1
418,54,10,1
419,18,37,0
420,5,1,0
421,24,50,1
422,6,8,1
423,12,46,0
424,38,29,1
425,53,17,0
426,36,39,1
427,40,62,1
428,60,61,0
429,31,51,1
430,36,2,1
431,8,59,1
432,6,34,1
433,55,31,1
434,41,2,0
435,8,46,0
436,54,27,0
437,35,4,1
438,14,18,1
439,35,27,0
440,23,34,0
441,10,15,1
442,17,46,0
443,40,4,1
444,43,19,1
445,63,3,1
446,20,14,0
447,20,33,1
448,63,28,0
449,28,19,0
450,24,8,0
451,59,55,1
452,35,55,0
453,32,24,1
454,41,50,1
455,5,47,0
456,7,47,1
457,19,7,1
458,39,55,0
459,49,32,1
460,37,50,0
461,49,50,1
462,23,22,1
463,40,42,0
464,62,52,1
465,20,47,1
466,44,61,1
467,33,16,0
468,51,53,0
469,38,52,0
470,39,33,0
471,63,46,1
472,61,44,0
473,41,49,1
474,42,64,1
475,19,4,1
476,53,29,0
477,26,25,0
478,24,2,0
479,65,56,1
480,10,21,1
481,18,23,0
482,2,1,0
483,48,18,1
484,57,31,1
485,58,46,0
486,57,52,0
487,53,17,0
488,14,26,0
489,16,27,1
490,50,55,0
491,16,44,1
492,22,45,1
493,42,63,0
494,60,6,1
495,18,19,0
496,55,1,1
497,53,47,0
498,5,54,1
499,22,44,1
500,25,61,1
501,55,19,1
502,4,58,0
503,11,65,1
504,16,2,1
505,8,47,0
506,67,4,1
507,22,2,1
508,8,60,1
509,58,40,0
510,21,34,1
511,21,47,0
512,32,48,1
513,64,59,0
514,40,30,1
515,13,46,0
516,42,16,0
517,55,23,1
518,39,15,1
519,56,65,0
520,52,12,0
521,59,21,1
522,8,64,1
523,55,24,1
524,24,26,1
525,54,1,0
526,66,19,1
527,3,60,1
528,32,52,1
529,21,36,0
530,33,20,0
531,41,40,0
532,19,9,1
533,11,24,1
534,36,64,1
535,65,25,1
536,5,30,1
537,50,30,1
538,14,25,1
539,20,40,0
540,36,64,1
541,53,21,0
542,40,36,1
543,25,24,1
544,55,15,1
545,48,51,1
546,49,17,0
547,61,23,0
548,60,38,0
549,17,9,1
550,40,10,1
551,17,11,1
552,49,23,1
553,34,54,1
554,62,1,0
555,36,11,1
556,10,19,1
557,66,9,1
558,20,30,1
559,67,51,1
560,18,51,1
561,19,27,0
562,22,4,1
563,53,15,1
564,14,6,0
565,32,39,0
566,48,65,0
567,22,19,1
568,25,53,0
569,20,21,0
570,16,55,1
571,30,23,1
572,52,24,1
573,30,25,0
574,28,63,0
575,63,29,1
576,49,64,1
577,10,22,0
578,2,26,0
579,16,42,0
580,36,11,1
581,5,19,1
582,43,49,1
583,47,56,1
584,10,13,0
585,42,37,0
586,58,65,0
587,62,9,0
588,19,15,1
589,62,48,1
590,50,43,0
591,13,67,1
592,49,20,0
593,14,52,0
594,55,54,1
595,29,34,1
596,34,62,0
597,9,40,0
598,17,5,1
599,62,51,1
600,30,9,0
601,63,33,1
602,41,12,1
603,40,6,0
604,5,28,1
605,29,53,1
606,43,51,1
607,67,21,0
608,45,13,0
609,12,32,0
610,57,15,1
611,39,21,0
612,20,1,0
613,37,19,1
614,5,18,1
615,42,65,1
616,3,45,1
617,64,3,0
618,6,16,1
619,37,40,1
620,50,52,0
621,23,63,0
622,53,6,0
623,20,35,1
624,22,42,0
625,66,21,0
626,60,66,0
627,30,61,1
628,47,14,1
629,42,14,1
630,20,29,1
631,22,52,1
632,1,15,1
633,56,44,0
634,64,39,0
635,15,33,0
636,63,53,1
637,18,43,1
638,32,18,0
639,64,17,0
640,35,54,0
641,63,7,0
642,40,26,1
643,42,45,1
644,30,26,1
645,3,27,0
646,41,18,0
647,28,14,0
648,9,66,0
649,19,46,0
650,28,16,0
651,29,15,1
652,26,11,1
