"round","z1","z2","y"
1,20,5,0
2,5,16,0
3,7,22,0
4,1,15,0
5,9,5,0
6,1,21,1
7,17,7,0
8,18,11,1
9,5,6,1
10,10,9,0
11,12,8,1
12,22,16,0
13,18,7,1
14,16,18,1
15,8,11,1
16,23,15,1
17,14,21,0
18,18,15,0
19,16,4,0
20,4,3,1
21,21,15,0
22,16,23,0
23,15,21,1
24,18,17,1
25,18,6,0
26,10,4,0
27,11,18,1
28,4,2,1
29,23,19,0
30,10,22,1
31,9,4,0
32,23,12,0
33,22,10,0
34,14,7,0
35,7,5,0
36,8,15,0
37,18,19,0
38,14,9,0
39,3,16,0
40,19,23,1
41,19,2,1
42,4,22,1
43,2,13,0
44,21,1,0
45,5,20,0
46,3,2,1
47,21,18,1
48,13,23,1
49,11,23,1
50,10,23,1
51,14,11,0
52,12,14,1
53,19,16,0
54,6,19,1
55,16,8,0
56,15,7,1
57,3,18,0
58,3,15,0
59,5,18,1
60,2,11,0
61,8,21,0
62,18,17,1
63,21,20,0
64,23,18,0
65,6,5,0
66,16,14,1
67,15,23,1
68,20,15,1
69,12,16,0
70,7,9,0
71,19,10,1
72,8,4,0
73,10,17,1
74,19,6,1
75,16,10,1
76,15,17,1
77,5,22,1
78,17,9,1
79,22,18,1
80,2,9,0
81,19,16,1
82,21,3,1
83,14,18,1
84,13,15,0
85,11,3,1
86,14,2,0
87,7,19,0
88,18,1,0
89,14,13,0
90,12,5,0
91,9,16,0
92,18,3,0
93,20,15,0
94,21,12,1
95,21,20,1
96,11,7,1
97,1,21,1
98,22,13,1
99,23,2,1
100,16,12,1
101,20,19,1
102,14,19,0
103,18,19,0
104,22,15,1
105,17,23,0
106,17,22,0
107,1,7,1
108,6,8,0
109,23,18,1
110,13,8,1
111,17,16,1
112,1,20,0
113,3,17,1
114,18,16,0
115,13,9,0
116,13,19,0
117,3,15,0
118,15,12,1
119,3,7,1
120,21,9,0
121,2,23,0
122,16,23,1
123,14,7,1
124,5,7,1
125,18,9,0
126,10,23,0
127,18,12,0
128,5,6,0
129,22,13,1
130,8,18,0
131,5,10,1
132,21,3,1
133,10,7,1
134,21,20,1
135,8,11,0
136,17,22,0
137,9,3,1
138,22,2,1
139,2,22,0
140,22,11,0
141,16,6,1
142,13,19,1
143,9,14,1
144,14,1,0
145,18,3,1
146,17,19,0
147,13,2,1
148,20,7,1
149,7,11,0
150,7,5,0
151,8,1,1
152,6,5,1
153,21,8,1
154,13,10,0
155,22,5,1
156,5,18,1
157,2,23,0
158,4,6,0
159,23,1,1
160,2,13,0
161,18,14,1
162,12,13,1
163,15,4,1
164,1,20,0
165,20,6,0
166,2,9,0
167,11,5,1
168,17,21,0
169,14,23,0
170,19,3,0
171,13,1,1
172,13,11,0
173,11,9,1
174,2,22,0
175,8,3,1
176,14,3,0
177,3,18,0
178,13,9,0
179,23,14,1
180,7,15,0
181,2,7,0
182,2,14,0
183,17,22,0
184,19,15,0
185,17,12,1
186,14,6,0
187,15,16,1
188,21,8,1
189,2,11,0
190,19,18,1
191,6,12,1
192,8,11,0
193,3,23,0
194,7,5,1
195,19,21,0
196,16,1,0
197,12,14,1
198,14,15,0
199,19,8,1
200,22,16,1
201,7,19,1
202,21,22,0
203,14,3,0
204,14,18,1
205,13,8,1
206,20,1,0
207,11,14,1
208,19,6,0
209,9,19,1
210,5,3,0
211,12,19,0
212,11,2,1
213,23,19,1
214,10,23,0
215,15,22,1
216,19,17,1
217,1,22,0
218,23,8,1
219,9,12,1
220,3,18,1
221,8,14,1
222,17,12,1
223,1,12,1
224,7,22,1
225,14,23,0
226,7,6,1
227,15,9,1
228,23,20,1
229,10,15,1
230,16,18,0
231,6,21,0
232,6,5,1
233,12,17,1
234,10,12,0
235,4,2,1
236,3,10,0
237,9,21,0
238,23,13,0
239,11,23,0
240,16,22,1
241,19,10,0
242,9,8,0
243,14,8,0
244,1,23,1
245,3,22,1
246,17,22,0
247,6,23,1
248,20,19,1
249,12,9,1
250,1,11,0
251,11,3,1
252,5,2,1
253,15,22,1
254,16,5,1
255,9,16,0
256,21,11,0
257,21,15,1
258,16,10,0
259,16,12,0
260,13,16,1
261,9,12,0
262,3,21,0
263,3,14,1
264,11,2,1
265,16,12,0
266,4,15,0
267,22,20,0
268,5,6,0
269,1,15,0
270,4,8,0
271,12,19,1
272,23,22,1
273,17,16,0
274,10,8,1
275,11,16,1
276,12,8,1
277,8,18,1
278,3,12,0
279,12,6,1
280,22,2,1
281,14,18,1
282,5,4,0
283,21,23,1
284,12,4,0
285,6,1,1
286,9,6,0
287,6,3,1
288,14,16,0
289,13,15,0
290,20,11,0
291,17,19,1
292,14,18,0
293,5,9,0
294,21,12,0
295,7,21,0
296,11,20,1
297,2,7,1
298,3,23,0
299,11,1,1
300,22,2,1
301,16,3,1
302,19,20,0
303,3,12,0
304,15,16,0
305,16,4,1
306,9,16,0
307,11,9,1
308,1,15,0
309,1,3,1
310,23,2,1
311,20,16,1
312,17,13,1
313,9,10,0
314,20,21,0
315,2,20,0
316,19,11,0
317,1,5,0
318,3,5,0
319,7,4,0
320,11,15,1
321,23,18,0
322,2,1,0
323,11,10,1
324,15,19,1
325,9,4,0
326,1,9,1
327,12,19,1
328,3,17,1
329,9,1,1
330,3,21,1
331,15,5,1
332,19,14,1
333,21,20,1
334,8,9,1
335,1,10,1
336,10,11,1
337,3,4,1
338,4,11,1
339,10,18,0
340,16,1,1
341,16,12,0
342,15,23,1
343,14,7,0
344,12,4,1
345,8,7,1
346,23,8,1
347,17,7,0
348,9,7,1
349,13,11,0
350,4,2,1
351,13,2,1
352,4,19,0
353,5,10,0
354,23,15,1
355,21,18,1
356,11,19,1
357,15,21,1
358,18,7,0
359,14,9,0
360,4,12,0
361,6,2,1
362,16,18,1
363,23,5,1
364,6,12,1
365,3,5,0
366,19,17,1
367,9,4,1
368,12,22,1
369,14,22,1
370,4,18,0
371,2,14,0
372,7,23,0
373,12,20,1
374,8,19,1
375,21,22,1
376,19,16,0
377,19,5,0
378,5,12,0
379,19,7,1
380,2,1,0
381,3,15,0
382,8,14,1
383,8,13,1
384,22,1,0
385,11,12,0
386,13,21,0
387,16,7,1
388,1,17,1
389,17,23,0
390,5,6,1
391,14,11,0
392,21,16,0
393,20,13,1
394,20,23,0
395,10,13,0
396,9,21,0
397,4,12,0
398,12,11,0
399,18,4,1
400,8,10,1
401,23,9,1
402,8,11,0
403,11,21,1
404,8,21,0
405,12,20,0
406,9,6,0
407,8,20,0
408,17,18,0
409,13,19,0
410,1,16,0
411,6,16,1
412,12,3,0
413,12,16,0
414,2,10,1
415,4,9,0
416,5,10,0
417,22,21,0
418,17,1,1
419,17,4,1
420,10,2,1
421,14,10,0
422,20,19,1
423,3,15,0
424,16,8,1
425,20,11,0
426,21,22,1
427,15,17,1
428,19,20,0
429,23,17,1
430,16,17,1
431,16,3,1
432,19,12,1
433,11,18,1
434,4,9,1
435,15,22,0
436,20,17,1
437,11,21,0
438,11,22,0
439,22,5,1
440,19,7,1
441,8,20,0
442,15,22,0
443,5,13,0
444,12,15,0
445,3,7,1
446,5,21,0
447,12,2,0
448,4,7,0
449,8,20,0
450,23,6,1
451,11,10,0
452,14,18,1
453,19,10,1
454,1,14,0
455,11,17,0
456,3,7,0
457,21,14,0
458,19,21,1
459,3,11,0
460,16,9,0
461,7,12,1
462,13,15,1
463,21,15,1
464,17,2,0
465,20,15,1
466,6,17,1
467,16,8,0
468,6,15,1
469,1,6,0
470,16,12,0
471,1,13,0
472,3,15,1
473,4,8,1
474,7,20,1
475,3,19,1
476,3,16,1
477,11,10,0
478,10,14,1
479,20,21,0
480,17,14,1
481,2,5,1
482,16,22,1
483,10,4,0
484,2,12,1
485,9,4,0
486,16,1,1
487,2,13,1
488,9,13,0
489,21,1,1
490,9,6,0
491,10,1,1
492,20,5,1
493,4,16,1
494,4,23,0
495,12,16,1
496,15,17,0
497,14,22,0
498,9,19,0
499,14,13,1
500,19,11,1
501,4,23,0
502,4,18,1
503,8,2,0
504,16,8,0
505,8,11,1
506,12,2,1
507,1,4,1
508,1,10,1
509,8,6,1
510,3,13,1
511,18,7,1
512,20,13,0
513,23,22,1
514,12,3,0
515,18,10,0
516,6,18,1
517,21,9,1
518,7,21,0
519,21,8,1
520,11,18,1
521,10,21,0
522,18,23,0
523,9,15,0
524,23,4,1
525,21,15,0
526,20,13,1
527,9,2,0
528,9,6,0
529,23,12,0
530,17,21,0
531,22,21,0
532,22,21,0
533,20,22,1
534,19,13,1
535,4,13,1
536,5,23,1
537,16,5,0
538,7,23,0
539,1,3,1
540,10,14,1
541,15,18,1
542,1,5,1
543,6,3,1
544,3,1,1
545,16,9,0
546,9,23,0
547,17,13,1
548,9,7,1
549,23,9,1
550,12,14,1
551,21,14,0
552,12,19,1
553,11,15,1
554,19,18,1
555,11,20,0
556,21,15,0
557,1,10,0
558,8,13,1
559,13,2,1
560,9,1,0
561,17,5,0
562,8,11,0
563,21,10,1
564,10,9,1
565,13,9,1
566,23,9,1
567,15,16,1
568,2,22,0
569,16,23,0
570,11,2,1
571,21,20,0
572,6,7,1
573,18,7,0
574,5,6,1
575,5,2,1
576,17,22,1
577,4,5,1
578,20,12,1
579,2,15,0
580,20,21,1
581,14,2,0
582,14,23,0
583,1,14,1
584,6,1,0
585,12,20,1
586,21,22,1
587,17,7,1
588,19,20,0
589,6,14,1
590,14,8,0
591,11,22,1
592,17,18,1
593,13,8,0
594,21,10,1
595,15,7,1
596,11,7,1
597,4,16,1
598,7,13,0
599,5,11,1
600,1,6,0
601,5,8,1
602,14,5,0
603,4,18,1
604,9,16,1
605,7,4,1
606,18,4,0
607,17,14,1
608,21,18,1
609,12,9,0
610,9,3,0
611,10,3,1
612,19,22,1
613,1,13,1
614,16,10,0
615,23,18,0
616,6,16,1
617,19,7,1
618,12,20,0
619,11,10,1
620,14,18,0
621,15,21,1
622,22,9,0
623,19,7,1
624,12,17,0
625,12,2,1
626,23,4,0
627,23,3,1
628,7,17,0
629,22,8,0
630,18,11,0
631,10,7,1
632,20,11,1
633,18,23,0
634,22,6,1
635,8,9,0
636,17,6,1
637,20,23,0
638,6,17,0
639,22,8,0
640,3,23,0
641,22,23,0
642,15,23,0
643,22,5,0
644,22,10,1
645,3,22,1
646,4,15,1
647,22,5,1
648,1,7,1
649,18,9,0
650,1,8,1
651,4,15,1
652,1,22,1
653,6,23,1
654,14,11,0
655,17,12,0
656,20,19,0
657,4,7,1
658,10,12,0
659,22,18,1
660,1,8,1
661,2,18,0
662,23,15,0
663,5,11,1
664,11,13,1
665,15,19,1
666,22,8,1
667,2,9,0
668,10,7,1
669,13,20,0
670,10,12,0
671,22,3,1
672,7,20,0
673,8,16,1
674,8,10,0
675,5,12,0
676,3,8,0
677,9,3,1
678,15,20,0
679,1,12,1
680,14,9,0
681,13,23,0
682,20,2,1
683,9,3,1
684,5,13,0
685,20,9,1
686,14,16,0
687,22,20,0
688,18,19,0
689,9,23,1
690,13,22,1
691,6,14,0
692,15,1,1
693,4,17,1
694,19,3,0
695,10,19,0
696,23,8,1
697,16,20,0
698,10,7,1
699,18,23,0
700,9,23,0
701,8,2,1
702,23,17,1
703,22,20,0
704,6,22,1
705,8,23,1
706,22,2,1
707,4,20,1
708,4,1,1
709,11,13,1
710,16,7,0
711,5,22,1
712,4,19,1
713,21,6,0
714,21,19,0
715,11,12,1
716,14,10,0
717,9,7,1
718,17,7,1
719,15,18,1
720,20,21,1
721,23,4,1
722,20,5,1
723,13,5,1
724,4,22,1
725,20,22,1
726,11,21,1
727,8,5,1
728,12,6,0
729,15,2,1
730,20,2,1
731,2,16,1
732,5,16,1
733,10,23,0
734,12,9,0
735,4,22,1
736,20,7,1
737,12,2,1
738,5,4,1
739,10,18,1
740,12,20,0
741,2,3,0
742,7,8,0
743,23,10,1
744,11,21,1
745,17,16,1
746,4,14,1
747,18,19,0
748,3,8,1
749,23,4,0
750,15,13,0
751,3,17,0
752,17,5,1
753,12,8,0
754,12,10,0
755,17,18,1
756,17,18,1
757,18,14,0
758,16,10,0
759,11,14,1
760,10,1,0
761,1,11,0
762,13,10,0
763,19,17,1
764,11,13,1
765,19,1,1
766,14,8,1
767,18,1,0
768,13,22,0
769,23,5,1
770,23,16,1
771,9,13,1
772,20,6,0
773,23,6,0
774,6,3,1
775,15,2,1
776,17,23,0
777,4,8,1
778,15,18,1
779,15,18,1
780,16,21,0
781,4,23,1
782,4,15,0
783,2,3,1
784,21,3,1
785,18,10,0
786,20,4,0
787,20,3,0
788,6,23,1
789,4,18,1
790,8,22,0
791,8,18,1
792,13,16,1
793,3,14,0
794,18,8,1
795,5,21,1
796,23,7,1
797,4,12,1
798,1,8,1
799,14,13,1
800,15,13,1
801,1,17,0
802,14,22,1
803,23,22,0
804,16,22,0
805,3,4,0
806,19,16,1
807,19,15,1
808,22,23,0
809,11,17,1
810,5,6,0
811,17,2,0
812,7,17,1
813,22,11,1
814,22,21,1
815,18,15,0
816,22,14,1
817,2,14,1
818,2,22,1
819,6,22,0
820,23,12,1
821,15,2,0
822,12,23,0
823,11,22,1
824,15,14,1
825,9,18,1
826,22,18,0
827,5,14,1
828,10,4,0
829,14,2,0
830,12,10,0
831,15,2,1
832,3,7,1
833,12,9,1
834,5,23,0
835,10,22,0
836,1,19,0
837,12,15,0
838,19,14,1
839,5,14,1
840,8,20,1
841,15,8,1
842,9,10,1
843,23,4,1
844,21,17,0
845,21,23,1
846,14,16,0
847,5,2,0
848,21,8,1
849,14,11,0
850,15,17,1
851,14,10,0
852,14,19,1
853,18,20,0
854,6,16,0
855,18,3,1
856,22,9,1
857,6,2,0
858,8,16,1
859,13,14,1
860,9,8,1
861,6,10,1
862,11,7,1
863,20,16,0
864,19,12,0
865,13,3,1
866,18,11,0
867,9,23,0
868,20,19,0
869,9,19,0
870,2,18,1
871,23,11,1
872,23,5,1
873,2,19,1
874,16,23,0
875,12,23,1
876,6,19,1
877,4,10,1
878,1,4,0
879,8,9,0
880,15,12,0
881,15,14,0
882,18,22,0
883,18,21,0
884,18,21,0
885,16,4,0
886,14,11,0
887,9,5,0
888,5,15,0
889,21,3,0
890,19,1,0
891,3,13,0
892,19,13,0
893,17,2,0
894,23,12,0
895,23,14,0
896,23,7,1
897,18,17,1
898,22,16,1
899,9,7,1
900,13,2,0
901,11,21,1
902,4,22,0
903,16,19,0
904,3,23,0
905,11,8,1
906,19,12,1
907,12,2,0
908,12,1,0
909,23,2,1
910,6,10,1
911,6,4,1
912,14,18,1
913,9,2,0
914,23,16,1
915,3,18,1
916,11,16,1
917,19,2,0
918,16,1,0
919,12,9,0
920,17,22,0
921,5,11,0
922,6,3,1
923,17,23,0
924,8,13,0
925,1,6,0
926,8,14,0
927,19,10,1
928,1,16,1
929,15,23,0
930,23,21,1
931,12,2,1
932,15,9,0
933,22,2,0
934,20,13,1
935,15,10,1
936,22,9,1
937,22,7,1
938,7,16,0
939,6,1,1
940,14,18,1
941,20,9,1
942,19,11,0
943,6,16,1
944,4,12,1
945,15,2,0
946,15,17,1
947,2,5,1
948,17,12,0
949,12,19,0
950,8,18,1
951,11,17,1
952,9,15,1
953,12,18,1
954,5,18,1
955,23,10,1
956,9,20,1
957,17,22,0
958,23,12,1
959,7,4,1
960,19,2,1
961,3,15,0
962,17,22,0
963,1,11,0
964,11,2,1
965,20,22,0
966,19,8,0
967,23,13,1
968,15,19,1
969,9,19,0
970,4,15,0
971,19,15,0
972,6,15,0
973,2,12,0
974,6,16,1
975,23,12,1
976,7,11,0
977,19,1,1
978,17,12,0
979,10,11,0
980,2,16,0
981,21,10,1
982,9,10,0
983,2,17,0
984,14,22,0
985,6,11,0
986,12,7,1
987,18,10,0
988,6,22,0
989,3,8,0
990,15,11,0
991,3,23,0
992,23,14,1
993,7,2,1
994,10,18,1
995,14,19,0
996,15,8,1
997,5,2,1
998,22,17,1
999,20,5,1
1000,22,16,1
1001,15,11,0
1002,8,1,1
1003,12,19,1
1004,4,2,1
1005,1,18,1
1006,8,14,1
1007,18,8,0
1008,2,4,0
1009,20,11,0
1010,19,3,1
1011,21,7,1
1012,5,2,1
1013,17,6,0
1014,19,15,0
1015,6,19,0
1016,17,18,1
1017,22,16,0
1018,9,20,1
1019,23,10,1
1020,20,5,1
1021,23,6,1
1022,19,2,1
1023,5,17,0
1024,1,3,0
1025,12,15,0
1026,14,16,0
1027,21,6,0
1028,6,16,0
1029,10,14,1
1030,7,1,0
1031,6,3,1
1032,10,22,0
1033,1,14,1
1034,15,20,1
1035,13,12,1
1036,15,2,1
1037,18,14,0
1038,7,4,0
1039,1,7,1
1040,7,1,0
1041,16,21,1
1042,8,4,1
1043,5,22,0
1044,22,2,1
1045,9,3,0
1046,23,15,0
1047,22,6,1
